"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","grank","gene_symbol","dataset","cell_type"
4.77745896929448e-122,1.66395747090259,0.039,0.013,8.9472251576947e-118,"Tcm","25992",9,"SNED1","Wu","T Cells"
1.66006409438582e-119,0.989067619409158,0.113,0.059,3.10896803596576e-115,"Tcm","100130231",62,"LINC00861","Wu","T Cells"
2.32545796575914e-112,1.51302443918256,0.044,0.015,4.35511767827372e-108,"Tcm","10418",14,"SPON1","Wu","T Cells"
7.79993839930606e-112,0.829009749597605,0.114,0.061,1.46077246342204e-107,"Tcm","6711",86,"SPTBN1","Wu","T Cells"
5.37209904179968e-105,1.05948910658042,0.077,0.037,1.00608670854824e-100,"Tcm","60468",57,"BACH2","Wu","T Cells"
2.26656436532951e-103,1.62889881365294,0.034,0.011,4.24482174338911e-99,"Tcm","6920",10,"TCEA3","Wu","T Cells"
7.66266957668621e-103,1.68774580320428,0.032,0.01,1.43506475832179e-98,"Tcm","340547",8,"VSIG1","Wu","T Cells"
2.00583330710087e-100,1.11388757623914,0.069,0.032,3.75652461753851e-96,"Tcm","10516",48,"FBLN5","Wu","T Cells"
1.40836376795399e-98,0.810072083144908,0.133,0.079,2.63758366462423e-94,"Tcm","1937",91,"EEF1G","Wu","T Cells"
5.33381417571158e-95,1.15092834585251,0.06,0.027,9.98916718827264e-91,"Tcm","51301",41,"GCNT4","Wu","T Cells"
2.25887341240986e-89,1.00894001004108,0.077,0.039,4.23041812676119e-85,"Tcm","26119",60,"LDLRAP1","Wu","T Cells"
4.80900160106863e-87,0.990503467516876,0.077,0.039,9.00629819848133e-83,"Tcm","388011",61,"LINC01550","Wu","T Cells"
1.12686296871869e-80,1.07715714592459,0.059,0.028,2.11038896781637e-76,"Tcm","10750",55,"GRAP","Wu","T Cells"
1.82291789078348e-73,1.5996236211935,0.025,0.008,3.4139606258593e-69,"Tcm","101929623",11,"LINC01215","Wu","T Cells"
3.45177747750323e-72,0.890567083345828,0.081,0.045,6.46448885986806e-68,"Tcm","51611",73,"DPH5","Wu","T Cells"
1.17427087430901e-70,1.30129694964556,0.036,0.014,2.19917449340591e-66,"Tcm","58473",25,"PLEKHB1","Wu","T Cells"
1.2138221128657e-70,0.915172884544778,0.079,0.044,2.27324605297488e-66,"Tcm","64854",69,"USP46","Wu","T Cells"
1.24867788904641e-70,0.80289539598628,0.084,0.047,2.33852395060611e-66,"Tcm","129293",97,"TRABD2A","Wu","T Cells"
9.91783467317656e-68,1.25658330492541,0.036,0.015,1.85741207759251e-63,"Tcm","120224",26,"TMEM45B","Wu","T Cells"
1.7159169960206e-67,0.94828682412696,0.054,0.027,3.21356935014738e-63,"Tcm","115650",65,"TNFRSF13C","Wu","T Cells"
4.96989405718413e-66,1.14554661850577,0.044,0.02,9.30761759029443e-62,"Tcm","64174",42,"DPEP2","Wu","T Cells"
9.505201829183e-65,1.39651687794674,0.028,0.01,1.78013419856939e-60,"Tcm","321",19,"APBA2","Wu","T Cells"
5.48742912137823e-63,0.846458547692163,0.075,0.042,1.02768572585171e-58,"Tcm","2592",83,"GALT","Wu","T Cells"
2.85608508228424e-58,1.17167323435974,0.038,0.017,5.34887614210192e-54,"Tcm","3655",39,"ITGA6","Wu","T Cells"
1.37931003590049e-57,1.34314500655616,0.027,0.011,2.58317183523444e-53,"Tcm","23305",21,"ACSL6","Wu","T Cells"
9.13073695903479e-57,0.938753776561343,0.053,0.027,1.71000441768804e-52,"Tcm","401247",66,"LINC00243","Wu","T Cells"
2.98250218868229e-56,1.03162941748017,0.051,0.026,5.58563009896419e-52,"Tcm","4008",58,"LMO7","Wu","T Cells"
3.22581438972403e-46,1.18322916619048,0.026,0.011,6.04130518907516e-42,"Tcm","9023",37,"CH25H","Wu","T Cells"
5.42980507942603e-45,1.21573887012857,0.026,0.011,1.01689389527491e-40,"Tcm","51361",31,"HOOK1","Wu","T Cells"
5.52799823620296e-43,0.803325566006886,0.064,0.039,1.03528350967609e-38,"Tcm","5732",96,"PTGER2","Wu","T Cells"
5.67846638049592e-43,1.4460159953108,0.017,0.006,1.06346318373928e-38,"Tcm","79722",16,"ANKRD55","Wu","T Cells"
7.76036831800526e-43,1.0788591973339,0.031,0.015,1.45336177859603e-38,"Tcm","8851",54,"CDK5R1","Wu","T Cells"
2.51809635352018e-42,1.23316116099339,0.023,0.01,4.7158908508726e-38,"Tcm","7757",29,"ZNF208","Wu","T Cells"
3.48857133648068e-36,0.815359532778281,0.044,0.025,6.53339639896101e-32,"Tcm","114804",90,"RNF157","Wu","T Cells"
5.41442884591623e-34,1.40297089371765,0.014,0.005,1.01401423426319e-29,"Tcm","2015",18,"ADGRE1","Wu","T Cells"
3.57103530440985e-33,0.830852409981484,0.039,0.022,6.68783491809876e-29,"Tcm","2882",85,"GPX7","Wu","T Cells"
1.2286869134547e-32,1.20105924099879,0.019,0.008,2.30108485151796e-28,"Tcm","3959",36,"LGALS3BP","Wu","T Cells"
6.18443601941854e-32,0.837005346862397,0.038,0.021,1.1582211777167e-27,"Tcm","158399",84,"ZNF483","Wu","T Cells"
2.21445174896535e-31,1.025745646476,0.024,0.012,4.1472252354623e-27,"Tcm","6875",59,"TAF4B","Wu","T Cells"
2.35319461055557e-31,1.09685734298686,0.022,0.01,4.40706286664847e-27,"Tcm","3590",50,"IL11RA","Wu","T Cells"
1.86689213160973e-29,1.20577750932291,0.017,0.007,3.4963155840787e-25,"Tcm","1636",33,"ACE","Wu","T Cells"
1.06442006271685e-28,1.24490449406153,0.017,0.008,1.99344589345612e-24,"Tcm","3848",27,"KRT1","Wu","T Cells"
1.63671579440808e-27,0.862466862364587,0.03,0.016,3.06524133976745e-23,"Tcm","9737",78,"GPRASP1","Wu","T Cells"
2.71980218988676e-27,1.08639508502477,0.019,0.009,5.09364554121993e-23,"Tcm","8313",52,"AXIN2","Wu","T Cells"
2.02284331896391e-20,0.894182159990295,0.02,0.011,3.78838096775561e-16,"Tcm","100750225",71,"PCAT1","Wu","T Cells"
1.40173552170486e-19,0.880647545100376,0.02,0.011,2.62517028504886e-15,"Tcm","84101",74,"USP44","Wu","T Cells"
3.79100706322319e-16,0.864489335683777,0.017,0.009,7.0997980280044e-12,"Tcm","80216",77,"ALPK1","Wu","T Cells"
2.17502853378537e-14,0.861034078604865,0.015,0.008,4.07339343807324e-10,"Tcm","5463",79,"POU6F1","Wu","T Cells"
2.72346651753892e-14,0.806075796663115,0.017,0.01,5.10050809404688e-10,"Tcm","100506673",94,"ZBTB20-AS2","Wu","T Cells"
3.50298257738192e-14,0.87966917275699,0.014,0.008,6.56038577092086e-10,"Tcm","7089",75,"TLE2","Wu","T Cells"
0,2.66231376140327,0.577,0.13,0,"Trm","3820",15,"KLRB1","Wu","T Cells"
0,2.02855309343178,0.624,0.208,0,"Trm","10663",41,"CXCR6","Wu","T Cells"
0,1.98856901342195,0.611,0.225,0,"Trm","8543",45,"LMO4","Wu","T Cells"
0,1.55905033845718,0.809,0.436,0,"Trm","120425",82,"JAML","Wu","T Cells"
0,1.79576739798789,0.543,0.216,0,"Trm","101929531",60,"LINC01871","Wu","T Cells"
0,2.09726313621867,0.434,0.13,0,"Trm","6509",34,"SLC1A4","Wu","T Cells"
0,1.47035049892442,0.466,0.186,0,"Trm","5045",100,"FURIN","Wu","T Cells"
0,1.53047156706799,0.434,0.163,0,"Trm","8718",88,"TNFRSF25","Wu","T Cells"
0,3.82356177567526,0.264,0.02,0,"Trm","5783",7,"PTPN13","Wu","T Cells"
0,2.09843997116462,0.347,0.11,0,"Trm","51594",33,"NBAS","Wu","T Cells"
0,1.55054758139668,0.324,0.094,0,"Trm","1512",84,"CTSH","Wu","T Cells"
0,1.52312260805351,0.358,0.136,0,"Trm","403",89,"ARL3","Wu","T Cells"
0,1.51296453223844,0.345,0.133,0,"Trm","221035",93,"REEP3","Wu","T Cells"
0,2.02574030797045,0.272,0.089,0,"Trm","79932",43,"KIAA0319L","Wu","T Cells"
0,1.52046819290404,0.276,0.099,0,"Trm","4216",91,"MAP3K4","Wu","T Cells"
0,2.98550300235149,0.198,0.027,0,"Trm","8707",10,"B3GALT2","Wu","T Cells"
0,1.91498104694861,0.234,0.066,0,"Trm","112399",54,"EGLN3","Wu","T Cells"
0,2.41672226619148,0.182,0.037,0,"Trm","641",22,"BLM","Wu","T Cells"
0,2.40774208314502,0.175,0.034,0,"Trm","3131",24,"HLF","Wu","T Cells"
0,1.95874261855875,0.19,0.052,0,"Trm","56935",51,"SMCO4","Wu","T Cells"
0,5.72667971646454,0.136,0.003,0,"Trm","55801",3,"IL26","Wu","T Cells"
0,1.47074504969403,0.201,0.073,0,"Trm","80063",99,"ATF7IP2","Wu","T Cells"
0,4.46347539439407,0.13,0.01,0,"Trm","10563",5,"CXCL13","Wu","T Cells"
0,2.61332700374865,0.143,0.025,0,"Trm","23604",18,"DAPK2","Wu","T Cells"
0,2.17690348808863,0.14,0.033,0,"Trm","10561",29,"IFI44","Wu","T Cells"
0,1.64740967519083,0.169,0.067,0,"Trm","4828",73,"NMB","Wu","T Cells"
0,1.96100476703415,0.139,0.038,0,"Trm","83879",49,"CDCA7","Wu","T Cells"
0,3.84673113367699,0.108,0.008,0,"Trm","54674",6,"LRRN3","Wu","T Cells"
0,1.48233437234809,0.156,0.059,0,"Trm","4603",95,"MYBL1","Wu","T Cells"
0,1.73186198963512,0.155,0.058,0,"Trm","23365",65,"ARHGEF12","Wu","T Cells"
0,2.08622367411343,0.123,0.03,0,"Trm","1123",35,"CHN1","Wu","T Cells"
0,2.51593585163066,0.119,0.026,0,"Trm","9289",20,"ADGRG1","Wu","T Cells"
0,2.03405978058441,0.122,0.031,0,"Trm","6916",40,"TBXAS1","Wu","T Cells"
0,1.62578633216054,0.133,0.045,0,"Trm","131450",78,"CD200R1","Wu","T Cells"
0,1.54879917632633,0.136,0.048,0,"Trm","51203",85,"NUSAP1","Wu","T Cells"
0,1.80999101174416,0.123,0.038,0,"Trm","1803",57,"DPP4","Wu","T Cells"
0,1.96683905297602,0.109,0.03,0,"Trm","51513",47,"ETV7","Wu","T Cells"
0,2.07388069670936,0.103,0.025,0,"Trm","5337",36,"PLD1","Wu","T Cells"
0,1.71978741322595,0.113,0.037,0,"Trm","11001",68,"SLC27A2","Wu","T Cells"
0,1.96022170781188,0.101,0.026,0,"Trm","9242",50,"MSC","Wu","T Cells"
0,1.48818559639127,0.117,0.043,0,"Trm","23154",94,"NCDN","Wu","T Cells"
0,2.66216205942198,0.087,0.014,0,"Trm","339988",16,"LINC02481","Wu","T Cells"
0,2.40869313224358,0.084,0.016,0,"Trm","4162",23,"MCAM","Wu","T Cells"
0,3.40646161157024,0.075,0.007,0,"Trm","4915",8,"NTRK2","Wu","T Cells"
0,6.49389341405848,0.066,0.001,0,"Trm","112744",1,"IL17F","Wu","T Cells"
0,1.79074206234342,0.089,0.026,0,"Trm","23101",61,"MCF2L2","Wu","T Cells"
0,1.6380084918466,0.094,0.034,0,"Trm","157506",75,"RDH10","Wu","T Cells"
0,1.95765763738971,0.081,0.021,0,"Trm","10634",52,"GAS2L1","Wu","T Cells"
0,2.1281901192512,0.074,0.017,0,"Trm","4756",31,"NEO1","Wu","T Cells"
0,2.4699679560325,0.065,0.013,0,"Trm","126259",21,"TMIGD2","Wu","T Cells"
0,2.16919036842605,0.07,0.019,0,"Trm","7291",30,"TWIST1","Wu","T Cells"
0,1.7730257871508,0.072,0.021,0,"Trm","29988",63,"SLC2A8","Wu","T Cells"
0,1.71094419699069,0.07,0.022,0,"Trm","3581",69,"IL9R","Wu","T Cells"
0,2.66161634990139,0.052,0.008,0,"Trm","55349",17,"CHDH","Wu","T Cells"
0,1.95040909534975,0.057,0.016,0,"Trm","10964",53,"IFI44L","Wu","T Cells"
0,3.20595948252099,0.047,0.006,0,"Trm","55540",9,"IL17RB","Wu","T Cells"
0,2.76672296875593,0.042,0.006,0,"Trm","11037",13,"STON1","Wu","T Cells"
0,2.98021753804548,0.039,0.005,0,"Trm","286",11,"ANK1","Wu","T Cells"
0,2.22299049937244,0.044,0.01,0,"Trm","9902",27,"MRC2","Wu","T Cells"
0,6.15112050915218,0.032,0.001,0,"Trm","50616",2,"IL22","Wu","T Cells"
0,2.7413216536894,0.032,0.005,0,"Trm","4647",14,"MYO7A","Wu","T Cells"
3.43998077012722e-307,2.58243284089263,0.033,0.005,6.44239598629426e-303,"Trm","6097",19,"RORC","Wu","T Cells"
1.29427704826723e-299,1.53194370929271,0.076,0.027,2.42392205599487e-295,"Trm","79925",86,"SPEF2","Wu","T Cells"
1.73028475557157e-297,2.04824693566204,0.046,0.011,3.24047729023444e-293,"Trm","152110",37,"NEK10","Wu","T Cells"
2.11686289810701e-292,2.02743814520964,0.048,0.012,3.96446083557481e-288,"Trm","64407",42,"RGS18","Wu","T Cells"
7.24731543949466e-284,2.27625135729651,0.036,0.007,1.35727723550856e-279,"Trm","5468",26,"PPARG","Wu","T Cells"
8.65218855546888e-280,1.80559809502921,0.055,0.016,1.62038187266821e-275,"Trm","100287482",58,"SMKR1","Wu","T Cells"
3.33479252469809e-275,2.20426404525645,0.038,0.008,6.24539944025459e-271,"Trm","389643",28,"NUGGC","Wu","T Cells"
1.21487213165645e-265,2.88884246733368,0.026,0.004,2.27521252816621e-261,"Trm","640",12,"BLK","Wu","T Cells"
9.33774853147746e-258,2.1273985838315,0.039,0.009,1.7487735449751e-253,"Trm","3458",32,"IFNG","Wu","T Cells"
5.71807139125289e-252,1.96166927931479,0.044,0.012,1.07088041015384e-247,"Trm","79413",48,"ZBED2","Wu","T Cells"
8.03396710082261e-231,1.73549477345665,0.046,0.014,1.50460135864206e-226,"Trm","2838",64,"GPR15","Wu","T Cells"
1.84392030634894e-229,2.38430597490109,0.028,0.005,3.4532939497303e-225,"Trm","1289",25,"COL5A1","Wu","T Cells"
5.90620151982734e-228,1.72804909977598,0.052,0.017,1.10611342063326e-223,"Trm","3434",66,"IFIT1","Wu","T Cells"
3.09554584062532e-227,4.6414580083333,0.011,0,5.79733825032309e-223,"Trm","3605",4,"IL17A","Wu","T Cells"
1.19274569200792e-219,2.03673991221686,0.034,0.008,2.23377413199243e-215,"Trm","100132891",39,"MSC-AS1","Wu","T Cells"
9.48121766638222e-218,1.97756750335808,0.036,0.009,1.77564244456006e-213,"Trm","114770",46,"PGLYRP2","Wu","T Cells"
2.86542670027903e-217,1.5812443786196,0.05,0.017,5.36637112428256e-213,"Trm","387895",81,"LINC00944","Wu","T Cells"
1.88519627678426e-216,1.85245770936125,0.039,0.011,3.53059558716156e-212,"Trm","132884",56,"EVC2","Wu","T Cells"
8.44145669411225e-206,1.69414475945927,0.043,0.013,1.58091600967334e-201,"Trm","132014",71,"IL17RE","Wu","T Cells"
2.58146775363898e-201,1.9071383055996,0.052,0.019,4.83457280901508e-197,"Trm","259197",55,"NCR3","Wu","T Cells"
5.11824830774765e-174,1.47354037474078,0.034,0.01,9.5854554307498e-170,"Trm","91543",98,"RSAD2","Wu","T Cells"
3.11984464077081e-168,1.64901545266121,0.035,0.011,5.84284504323557e-164,"Trm","8572",72,"PDLIM4","Wu","T Cells"
1.5106631241335e-166,1.72312811705701,0.035,0.011,2.82916989887721e-162,"Trm","643911",67,"CRNDE","Wu","T Cells"
9.60300087932726e-165,1.62355585367573,0.04,0.014,1.79845000468041e-160,"Trm","1756",79,"DMD","Wu","T Cells"
7.13278870948317e-142,1.70261719066926,0.029,0.009,1.33582866951201e-137,"Trm","201164",70,"PLD6","Wu","T Cells"
1.5994440088169e-139,2.04248671887986,0.021,0.005,2.99543873971228e-135,"Trm","4041",38,"LRP5","Wu","T Cells"
1.14188528704433e-134,1.99671709451842,0.021,0.005,2.13852276557662e-130,"Trm","23428",44,"SLC7A8","Wu","T Cells"
1.00162146285004e-131,1.78718352574359,0.025,0.007,1.87583667562556e-127,"Trm","400451",62,"FAM174B","Wu","T Cells"
6.3123098944283e-126,1.63400504693402,0.028,0.009,1.18216939702853e-121,"Trm","9231",76,"DLG5","Wu","T Cells"
2.53281506889844e-123,1.51921496239149,0.031,0.011,4.743456061033e-119,"Trm","54841",92,"BIVM","Wu","T Cells"
4.91802705505461e-123,1.59262512629549,0.028,0.009,9.21048106870627e-119,"Trm","5026",80,"P2RX5","Wu","T Cells"
1.35874278585905e-111,1.80397384776857,0.021,0.006,2.54465348935683e-107,"Trm","118980",59,"SFXN2","Wu","T Cells"
3.85536825458402e-108,1.64595144529572,0.024,0.008,7.22033366718495e-104,"Trm","7436",74,"VLDLR","Wu","T Cells"
1.23451021286805e-99,1.47846196284438,0.027,0.01,2.31199072665929e-95,"Trm","79682",97,"CENPU","Wu","T Cells"
2.03202765494531e-95,1.55461621482674,0.024,0.008,3.80558139218157e-91,"Trm","9805",83,"SCRN1","Wu","T Cells"
3.02351680558192e-92,1.62669849020088,0.021,0.007,5.66244227349381e-88,"Trm","399717",77,"GATA3-AS1","Wu","T Cells"
3.73221877666925e-80,1.5212983136701,0.02,0.007,6.98969932494617e-76,"Trm","54621",90,"VSIG10","Wu","T Cells"
