"","sample","donor","agonist","agonist_concentration","inhibitor","inhibitor_conc","CST14_inhibited_vs_uninhibited","Icatibant_inhibited_vs_uninhibited","PAMP12_inhibited_vs_uninhibited","SP_inhibited_vs_uninhibited","Untreated_inhibited_vs_uninhibited","CST14_activated_vs_unactivated","Icatibant_activated_vs_unactivated","PAMP12_activated_vs_unactivated","SP_activated_vs_unactivated","inhibited_vs_uninhibited","activated_vs_unactivated","inhibited_vs_activated","filePath","fileMD5"
"PAMP12D2","PAMP12D2",2,"PAMP12",10,NA,NA,NA,NA,"Uninhibited",NA,NA,NA,NA,"PAMP12",NA,"Uninhibited","Activated","Activated","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/PAMP12D2/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"PAMP12D3","PAMP12D3",3,"PAMP12",10,NA,NA,NA,NA,"Uninhibited",NA,NA,NA,NA,"PAMP12",NA,"Uninhibited","Activated","Activated","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/PAMP12D3/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"SP756D1","SP756D1",1,"SP",30,"EVO756",10,NA,NA,NA,"EVO576",NA,NA,NA,NA,NA,"Inhibited",NA,"EVO576","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/SP756D1/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"SP756D2","SP756D2",2,"SP",30,"EVO756",10,NA,NA,NA,"EVO576",NA,NA,NA,NA,NA,"Inhibited",NA,"EVO576","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/SP756D2/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"SP756D3","SP756D3",3,"SP",30,"EVO756",10,NA,NA,NA,"EVO576",NA,NA,NA,NA,NA,"Inhibited",NA,"EVO576","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/SP756D3/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"SPD1","SPD1",1,"SP",30,NA,NA,NA,NA,NA,"Uninhibited",NA,NA,NA,NA,"SP","Uninhibited","Activated","Activated","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/SPD1/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"SPD2","SPD2",2,"SP",30,NA,NA,NA,NA,NA,"Uninhibited",NA,NA,NA,NA,"SP","Uninhibited","Activated","Activated","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/SPD2/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"SPD3","SPD3",3,"SP",30,NA,NA,NA,NA,NA,"Uninhibited",NA,NA,NA,NA,"SP","Uninhibited","Activated","Activated","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/SPD3/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"UT756D1","UT756D1",1,"Untreated",NA,"EVO756",10,NA,NA,NA,NA,"EVO576",NA,NA,NA,NA,"Inhibited",NA,NA,"/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/UT756D1/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"UT756D2","UT756D2",2,"Untreated",NA,"EVO756",10,NA,NA,NA,NA,"EVO576",NA,NA,NA,NA,"Inhibited",NA,NA,"/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/UT756D2/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"UT756D3","UT756D3",3,"Untreated",NA,"EVO756",5,NA,NA,NA,NA,"EVO576",NA,NA,NA,NA,"Inhibited",NA,NA,"/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/UT756D3/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"UTD1","UTD1",1,"Untreated",NA,NA,NA,NA,NA,NA,NA,"Uninhibited","Unactivated","Unactivated","Unactivated","Unactivated","Uninhibited","Unactivated",NA,"/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/UTD1/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"UTD2","UTD2",2,"Untreated",NA,NA,NA,NA,NA,NA,NA,"Uninhibited","Unactivated","Unactivated","Unactivated","Unactivated","Uninhibited","Unactivated",NA,"/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/UTD2/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"UTD3","UTD3",3,"Untreated",NA,NA,NA,NA,NA,NA,NA,"Uninhibited","Unactivated","Unactivated","Unactivated","Unactivated","Uninhibited","Unactivated",NA,"/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/UTD3/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
